distance_km,travel_time_min,transport_mode,cost_rs,traffic_level,weather_condition,temperature_c,co2_g
5.5,13,Two-Wheeler,27,Medium,Rainy,13,826.9295057549085
8.9,21,Car,71,Medium,Foggy,28,2230.2038185511174
14.1,63,Bus,42,High,Rainy,14,1589.959913337847
14.4,29,Metro,57,Medium,Rainy,19,902.1049153689912
12.7,38,Two-Wheeler,63,High,Foggy,14,1909.4554041976978
15.1,36,Car,120,Medium,Sunny,19,3783.828950575491
15.5,37,Car,124,Medium,Cold,31,3884.0628300609346
7.5,22,Two-Wheeler,37,High,Rainy,22,1127.631144211239
19.6,70,Bus,58,Medium,Cold,33,2210.157042654029
4.2,8,Metro,16,Medium,Sunny,36,263.1139336492891
12.0,20,Metro,48,Low,Foggy,23,751.754096140826
8.6,17,Car,68,Low,Cold,40,2155.0284089370343
2.1,10,Bicycle,0,Medium,Cold,11,0.0
15.1,45,Car,120,High,Sunny,30,3783.828950575491
17.4,44,Metro,69,High,Sunny,24,1090.0434394041977
1.4,5,Bicycle,0,Low,Foggy,11,0.0
18.0,81,Bus,54,High,Rainy,32,2029.7360595802302
8.7,26,Bus,26,Low,Foggy,40,981.0390954637778
13.4,40,Bus,40,Low,Rainy,15,1511.0257332430604
8.3,16,Two-Wheeler,41,Low,Cold,10,1247.9117995937713
6.0,27,Bus,18,High,Rainy,17,676.5786865267435
19.4,69,Bus,58,Medium,Rainy,38,2187.6044197698034
11.2,23,Metro,44,Medium,Rainy,37,701.6371563981043
9.8,44,Bus,29,High,Rainy,36,1105.0785213270144
3.0,10,Bus,9,Medium,Rainy,22,338.28934326337173
17.4,52,Bus,52,Low,Rainy,33,1962.0781909275556
5.1,12,Two-Wheeler,25,Medium,Sunny,34,766.7891780636425
7.5,22,Bus,22,Low,Cold,22,845.7233581584293
15.6,70,Bus,46,High,Foggy,16,1759.1045849695329
3.8,11,Two-Wheeler,19,High,Sunny,27,571.3331130670277
6.1,10,Metro,24,Low,Sunny,12,382.1416655382532
1.4,20,Walk,0,Medium,Sunny,17,0.0
13.9,27,Car,111,Low,Foggy,14,3483.1273121191607
2.5,9,Bus,7,Medium,Foggy,34,281.90778605280974
5.5,11,Metro,22,Medium,Sunny,40,344.55396073121193
3.4,10,Bus,10,Low,Sunny,15,383.3945890318213
16.1,33,Metro,64,Medium,Sunny,21,1008.603412322275
12.6,37,Bus,37,Low,Cold,37,1420.815241706161
8.7,39,Bus,26,High,Foggy,18,981.0390954637778
10.5,18,Metro,42,Low,Foggy,14,657.7848341232228
19.8,39,Car,158,Low,Sunny,29,4961.577034529452
11.5,23,Metro,46,Medium,Rainy,21,720.4310088016249
18.9,38,Metro,75,Medium,Cold,36,1184.0127014218008
4.5,16,Bus,13,Medium,Rainy,29,507.43401489505754
13.3,39,Car,106,High,Sunny,31,3332.7764928909955
17.2,51,Car,137,High,Rainy,13,4310.056817874069
6.8,17,Metro,27,High,Cold,19,425.9939878131347
11.1,28,Metro,44,High,Foggy,37,695.372538930264
11.2,50,Bus,33,High,Sunny,13,1262.9468815165876
14.2,34,Car,113,Medium,Sunny,25,3558.302721733243
13.8,49,Bus,41,Medium,Cold,21,1556.13097901151
19.6,33,Metro,78,Low,Rainy,18,1227.8650236966826
18.2,36,Car,145,Low,Foggy,34,4560.641516587678
7.1,31,Bus,21,High,Cold,40,800.6181123899796
1.8,6,Bus,5,Medium,Rainy,17,202.97360595802303
6.4,28,Bus,19,High,Sunny,10,721.683932295193
16.8,50,Car,134,High,Sunny,38,4209.8229383886255
16.1,48,Bus,48,Low,Rainy,21,1815.486142180095
14.4,24,Metro,57,Low,Cold,33,902.1049153689912
8.8,15,Metro,35,Low,Foggy,25,551.2863371699391
11.6,29,Metro,46,High,Cold,40,726.6956262694652
8.0,13,Metro,32,Low,Cold,11,501.16939742721735
15.3,39,Metro,61,High,Sunny,10,958.4864725795533
12.5,25,Car,100,Low,Sunny,28,3132.3087339201084
8.1,20,Metro,32,High,Sunny,20,507.43401489505754
2.2,5,Two-Wheeler,11,Medium,Cold,34,330.7718023019635
14.2,34,Car,113,Medium,Rainy,34,3558.302721733243
5.8,11,Two-Wheeler,29,Low,Sunny,29,872.0347515233581
10.2,26,Metro,40,High,Sunny,14,638.9909817197021
6.0,12,Car,48,Low,Rainy,38,1503.508192281652
18.2,31,Metro,72,Low,Rainy,12,1140.1603791469195
1.9,8,Bus,5,High,Rainy,20,214.24991740013542
5.8,13,Two-Wheeler,29,Medium,Foggy,39,872.0347515233581
13.4,60,Bus,40,High,Rainy,28,1511.0257332430604
2.3,6,Bus,6,Low,Rainy,18,259.35516316858497
1.7,6,Bicycle,0,Low,Foggy,34,0.0
5.8,13,Car,46,Medium,Rainy,39,1453.3912525389303
